,city,country,lat,lng,cloudiness,date,humidity,max_temp,wind_speed
400,Bathsheba,BB,13.22,-59.52,20,1548802800,78,75.20,5.7
401,Todos Santos,MX,23.45,-110.23,40,1548802020,26,78.80,3.1
402,Arcachon,FR,44.65,-1.18,92,1548802800,75,44.60,5.1
403,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,88,1548802800,91,32.00,10.0
404,Lopez,PH,13.88,122.26,12,1548804325,86,74.66,4.82
405,Ust-Nera,RU,64.57,143.24,0,1548804325,0,-54.44,0.27
406,Saint-Augustin,FR,44.83,-0.61,36,1548801000,80,46.40,7.2
407,Yabrud,SY,33.97,36.66,0,1548802800,86,39.20,2.1
408,Cururupu,BR,-1.82,-44.87,64,1548804326,84,78.85,2.37
409,Ocean City,US,30.44,-86.61,1,1548802560,47,47.66,4.6
410,Nuuk,GL,64.17,-51.74,32,1548802200,72,14.00,5.7
411,Vila Franca do Campo,PT,37.72,-25.43,75,1548801000,93,59.00,3.1
412,Dunedin,NZ,-45.87,170.5,68,1548804065,70,74.93,1.67
413,Arkhipo-Osipovka,RU,44.37,38.53,20,1548804326,82,45.55,3.47
414,Rocha,UY,-34.48,-54.34,32,1548804327,68,83.89,4.07
415,Zalantun,CN,48.0,122.72,12,1548804327,25,5.23,6.42
416,Jinchang,CN,38.52,102.19,80,1548804327,79,3.88,0.87
417,Gorontalo,ID,0.54,123.06,56,1548804327,88,76.15,1.12
418,Wanning,AT,48.64,13.53,0,1548802200,92,26.60,4.6
419,Champerico,MX,16.38,-93.6,5,1548801840,53,77.00,8.7
420,Vostochnyy,RU,55.82,37.87,90,1548802800,100,26.60,4.0
421,San Policarpo,PH,12.18,125.51,92,1548804328,91,78.31,6.12
422,Santa Maria,BR,-29.69,-53.81,0,1548799200,49,93.20,2.1
423,Pangai,TO,-19.8,-174.35,40,1548802800,70,86.00,4.6
424,Itoman,JP,26.12,127.67,0,1548802800,72,60.80,1.0
425,Qaqortoq,GL,60.72,-46.03,76,1548802200,88,32.00,12.9
426,Esna,RO,45.2,27.57,88,1548804330,95,43.39,4.97
427,Amahai,ID,-3.31,129.0,24,1548804330,100,83.21,6.42
428,Muret,FR,43.46,1.33,92,1548802800,81,42.80,12.3
429,Tottori,JP,35.5,134.23,40,1548802800,100,32.00,5.1
430,Dukat,RS,42.44,22.31,92,1548804330,99,32.99,0.97
431,Dalbandin,PK,28.9,64.41,12,1548804330,85,56.62,4.92
432,Garoua Boulai,CM,5.88,14.55,20,1548804331,72,63.41,1.02
433,Cockburn Town,TC,21.46,-71.14,76,1548804331,100,78.08,4.17
434,Mandalgovi,MN,45.76,106.27,0,1548804331,53,-13.04,3.92
435,Taltal,CL,-25.41,-70.49,36,1548804032,82,64.90,1.72
436,Kyabe,TD,9.45,18.94,0,1548804331,26,67.96,3.47
437,Grand-Santi,GF,4.27,-54.38,92,1548804331,100,72.59,1.07
438,Praia,BR,-20.25,-43.81,0,1548799200,37,84.20,3.6
439,Shellbrook,CA,53.22,-106.39,75,1548802800,56,-16.60,1.5
440,Batemans Bay,AU,-35.71,150.18,20,1548804332,81,80.83,1.17
441,Bonavista,CA,48.65,-53.11,0,1548804332,100,21.56,8.12
442,Quatre Cocos,MU,-20.21,57.76,75,1548802800,100,75.20,1.97
443,Tautira,PF,-17.73,-149.15,75,1548802800,62,86.00,9.8
444,Faya,SA,18.39,42.45,0,1548802800,19,57.20,1.22
445,San Juan Evangelista,MX,17.88,-95.14,90,1548802200,83,75.20,5.57
446,Victoria,BN,5.28,115.24,90,1548801000,100,77.00,4.42
447,Saint-Gabriel,CA,46.3,-73.38,90,1548804120,92,8.60,6.7
448,Atambua,ID,-9.11,124.89,100,1548804333,100,75.61,1.87
449,Salalah,OM,17.01,54.1,75,1548802200,69,75.20,4.1
450,Ogulin,HR,45.27,15.22,40,1548802800,64,37.40,1.0
451,Australind,AU,-33.28,115.72,0,1548804334,72,62.20,7.47
452,Rio Cuarto,AR,-33.13,-64.35,75,1548802800,74,84.20,5.1
453,Balkhash,KZ,46.84,74.98,0,1548804334,68,-1.70,6.27
454,Nisia Floresta,BR,-6.09,-35.21,20,1548802800,69,82.40,5.7
455,Cravo Norte,CO,6.3,-70.2,0,1548804334,35,91.17,3.37
456,Mae Sai,MM,20.44,99.89,0,1548802800,100,60.80,0.87
457,Sao Felix do Xingu,BR,-6.64,-51.99,56,1548804334,100,73.00,0.62
458,De-Kastri,RU,51.48,140.77,20,1548804035,100,5.68,0.77
459,Sinnamary,GF,5.38,-52.96,88,1548804335,100,76.33,4.27
460,Kurilsk,RU,45.23,147.88,0,1548804335,100,24.98,6.42
461,Namatanai,PG,-3.66,152.44,32,1548804335,98,84.29,3.67
462,Turayf,SA,31.68,38.65,0,1548802800,100,42.80,4.1
463,Peterhead,AU,-34.83,138.5,0,1548802800,24,82.40,4.1
464,Solnechnyy,RU,50.72,136.64,76,1548804335,71,-2.24,0.72
465,Ornskoldsvik,SE,63.29,18.72,88,1548802200,77,6.80,3.1
466,Belaya Gora,RU,68.54,146.19,0,1548804336,0,-50.93,1.32
467,Xuddur,SO,4.12,43.89,0,1548804336,55,67.15,4.42
468,Mlonggo,ID,-6.53,110.7,20,1548802800,94,73.40,2.82
469,Mareeba,AU,-16.99,145.42,75,1548803520,100,78.80,4.1
470,Zyryanka,RU,65.73,150.89,0,1548804336,0,-43.01,1.17
471,Mahibadhoo,MV,3.78,72.97,0,1548804337,99,82.04,5.57
472,Oktyabrskiy,RU,55.61,37.97,40,1548802800,92,26.60,5.0
473,Palmer,AU,-34.85,139.16,0,1548802800,24,82.40,4.1
474,Mitchell,US,43.71,-98.03,75,1548802380,63,-9.04,8.2
475,Mwene-Ditu,CD,-7.01,23.45,80,1548804337,95,67.19,1.37
476,Zhengjiatun,CN,43.51,123.51,0,1548804337,23,14.09,9.22
477,Saint-Michel-des-Saints,CA,46.68,-73.92,92,1548804091,86,16.79,4.32
478,Puerto Escondido,MX,15.86,-97.07,5,1548801900,65,82.40,6.2
479,Nipawin,CA,53.36,-104.02,1,1548802800,61,-23.80,3.6
480,Belmonte,PT,40.36,-7.35,68,1548804338,87,36.91,1.12
481,Aginskoye,RU,51.11,114.54,8,1548804338,43,-7.69,5.82
482,Beni,CD,0.49,29.47,0,1548804338,96,64.13,1.37
483,Campbellsville,US,37.34,-85.34,1,1548803700,49,25.16,4.1
484,Dingle,PH,11.0,122.67,24,1548804339,77,75.34,6.47
485,San Carlos de Bariloche,AR,-41.13,-71.31,20,1548802800,51,60.80,11.3
486,Muyinga,BI,-2.85,30.34,64,1548804339,98,59.54,1.22
487,Geraldton,CA,49.72,-86.95,90,1548802800,69,-11.20,5.7
488,Dubuque,US,42.5,-90.66,1,1548802620,60,-2.20,9.8
489,Tygda,RU,53.11,126.33,64,1548804340,71,-2.60,2.37
490,Vestmanna,FO,62.16,-7.17,80,1548802200,100,32.00,3.6
491,Ciudad Bolivar,VE,8.12,-63.55,24,1548804340,52,86.05,5.37
492,Dali,CN,25.6,100.24,80,1548804340,100,43.84,1.17
493,Carutapera,BR,-1.2,-46.02,8,1548804341,91,78.58,3.42
494,Paamiut,GL,61.99,-49.67,12,1548804341,100,26.51,6.52
495,Santiago del Estero,AR,-27.8,-64.26,8,1548804341,46,92.44,7.37
496,Dwarka,IN,28.58,77.04,20,1548802800,87,44.60,2.1
